30 -10 -25
40 -10 50
40 10 50
30 10 -25
#

30 -10 -25
40 -10 -100
40 10 -100
30 10 -25
#

30 -10 -25
20 -10 -100
20 10 -100
30 10 -25
#

30 -10 -25
20 -10 50
20 10 50
30 10 -25
#

30 -10 -25
40 -10 50
40 10 50
30 10 -25
#


0 55 0
40 55 -100
40 55 -100
0 55 0
#

0 55 -100
40 55 0
40 55 0
0 55 -100
#


65 15 -60
80 15 -20
80 50 -20
65 50 -60
#

65 15 -60
80 15 -100
80 50 -100
65 50 -60
#

65 15 -60
50 15 -100
50 50 -100
65 50 -60
#

65 15 -60
50 15 -20
50 50 -20
65 50 -60
#

65 15 -60
80 15 -20
80 50 -20
65 50 -60
#

