-40 -90 -100
-20 -90 -100
0 -90 -100
20 -90 -100
40 -90 -100
60 -90 -100
80 -90 -100
100 -90 -100
#

-40 -70 -100
-20 -70 -100
0 -70 -100
20 -70 -100
40 -70 -100
60 -70 -100
80 -70 -100
100 -70 -100
#

-40 -50 -100
-20 -50 -100
0 -50 -100
20 -50 -100
40 -50 -100
60 -50 -100
80 -50 -100
100 -50 -100
#

-40 -30 -100
-20 -30 -100
0 -30 -100
20 -30 -100
40 -30 -100
60 -30 -100
80 -30 -100
100 -30 -100
#

-40 -10 -100
-20 -10 -100
0 -10 -100
20 -10 -100
40 -10 -100
60 -10 -100
80 -10 -100
100 -10 -100
#

-40 10 -100
-20 10 -100
0 10 -100
20 10 -100
40 10 -100
60 10 -100
80 10 -100
100 10 -100
#

-40 30 -100
-20 30 -100
0 30 -100
20 30 -100
40 30 -100
60 30 -100
80 30 -100
100 30 -100
#

-40 50 -100
-20 50 -100
0 50 -100
20 50 -100
40 50 -100
60 50 -100
80 50 -100
100 50 -100
#

-40 70 -100
-20 70 -100
0 70 -100
20 70 -100
40 70 -100
60 70 -100
80 70 -100
100 70 -100
#

-40 90 -100
-20 90 -100
0 90 -100
20 90 -100
40 90 -100
60 90 -100
80 90 -100
100 90 -100
#

