-40 -90 85
-20 -90 90
0 -90 85
20 -90 90
40 -90 85
60 -90 90
80 -90 85
100 -90 90
#

-40 -70 85
-20 -70 90
0 -70 85
20 -70 90
40 -70 85
60 -70 90
80 -70 85
100 -70 90
#

-40 -50 85
-20 -50 90
0 -50 85
20 -50 90
40 -50 85
60 -50 90
80 -50 85
100 -50 90
#

-40 -30 85
-20 -30 90
0 -30 85
20 -30 90
40 -30 85
60 -30 90
80 -30 85
100 -30 90
#

-40 -10 85
-20 -10 90
0 -10 85
20 -10 90
40 -10 85
60 -10 90
80 -10 85
100 -10 90
#

-40 10 85
-20 10 90
0 10 85
20 10 90
40 10 85
60 10 90
80 10 85
100 10 90
#

-40 30 85
-20 30 90
0 30 85
20 30 90
40 30 85
60 30 90
80 30 85
100 30 90
#

-40 50 85
-20 50 90
0 50 85
20 50 90
40 50 85
60 50 90
80 50 85
100 50 90
#

-40 70 85
-20 70 90
0 70 85
20 70 90
40 70 85
60 70 90
80 70 85
100 70 90
#

-40 90 85
-20 90 90
0 90 85
20 90 90
40 90 85
60 90 90
80 90 85
100 90 90
#

